ANO;MES;COD_MESO;COD_MICRO;COD_MUNICIPIO;COD_PRODUTO;PRECO;id_meso;codigo_meso;id_micro;codigo_micro;id_micro_meso;id_municipio;codigo_municipio;estado_id;id_produto;codigo_produto
2015;11;3;7;3163;1212100;;75;3;7;7;75;50;3163;18;826;1212100
2015;11;1;1;3304;1212100;;73;1;1;1;73;17;3304;18;826;1212100
2015;11;4;12;3809;1212100;;76;4;12;12;76;86;3809;18;826;1212100
2015;11;3;8;4955;1212100;;75;3;8;8;75;58;4955;18;826;1212100
2015;11;4;12;5036;1212100;;76;4;12;12;76;88;5036;18;826;1212100
2015;11;3;7;5069;1212100;;75;3;7;7;75;52;5069;18;826;1212100
2015;11;3;7;102;1213040;;75;3;7;7;75;46;102;18;613;1213040
2015;11;4;12;5036;1213040;;76;4;12;12;76;88;5036;18;613;1213040
2015;11;3;7;5069;1213040;;75;3;7;7;75;52;5069;18;613;1213040
2015;11;1;1;2108;1213050;;73;1;1;1;73;16;2108;18;614;1213050
2015;11;4;12;1407;1213060;;76;4;12;12;76;83;1407;18;618;1213060
2015;11;3;7;5069;1213060;;75;3;7;7;75;52;5069;18;618;1213060
2015;11;3;8;4500;1213070;;75;3;8;8;75;55;4500;18;649;1213070
2015;11;4;12;1407;1213080;;76;4;12;12;76;83;1407;18;662;1213080
2015;11;3;7;5069;1213080;;75;3;7;7;75;52;5069;18;662;1213080
2015;11;3;7;102;1213110;;75;3;7;7;75;46;102;18;718;1213110
2015;11;3;7;102;1213110;;75;3;7;7;75;46;102;18;718;1213110
2015;11;4;12;706;1213110;;76;4;12;12;76;80;706;18;718;1213110
2015;11;1;3;805;1213110;;73;1;3;3;73;25;805;18;718;1213110
2015;11;4;12;1209;1213110;;76;4;12;12;76;82;1209;18;718;1213110
2015;11;4;12;1407;1213110;;76;4;12;12;76;83;1407;18;718;1213110
2015;11;4;12;1407;1213110;;76;4;12;12;76;83;1407;18;718;1213110
2015;11;3;7;1704;1213110;;75;3;7;7;75;48;1704;18;718;1213110
2015;11;3;7;1704;1213110;;75;3;7;7;75;48;1704;18;718;1213110
2015;11;1;1;2108;1213110;;73;1;1;1;73;16;2108;18;718;1213110
2015;11;3;8;2702;1213110;;75;3;8;8;75;53;2702;18;718;1213110
2015;11;3;7;3163;1213110;;75;3;7;7;75;50;3163;18;718;1213110
2015;11;4;12;3809;1213110;;76;4;12;12;76;86;3809;18;718;1213110
2015;11;1;3;4005;1213110;;73;1;3;3;73;29;4005;18;718;1213110
2015;11;4;12;5036;1213110;;76;4;12;12;76;88;5036;18;718;1213110
